project,total_branches,avg_duration_days,median_duration_days,min_duration_days,max_duration_days,valid_merges,invalid_merges,merged_branches,avg_pipelines
B01,5,0.04,0.04,0.01,0.06,3,0,3,31.80
B02,5,0.04,0.04,0.03,0.06,2,0,2,28.40
B03,5,0.04,0.04,0.04,0.06,0,0,0,29.40
B04,5,0.04,0.04,0.02,0.05,4,0,4,36.60
B05,5,0.05,0.04,0.01,0.10,0,3,3,19.60
B06,4,0.04,0.04,0.03,0.05,0,0,0,22.75
B07,5,0.04,0.03,0.02,0.07,0,2,2,23.40
B08,5,0.04,0.03,0.03,0.05,0,0,0,35.60
B09,5,0.04,0.04,0.02,0.05,0,0,0,33.40
B10,5,0.16,0.04,0.01,0.36,1,0,1,32.00
OVERALL,49,0.05,0.04,0.01,0.36,10,5,15,29.43
