Project,total_pipelines,success_pipelines,failed_pipelines,canceled_pipelines,skipped_pipelines,avg_duration,median_duration,max_duration,avg_compile_duration,avg_test_duration,canceled_rate,skipped_rate,failed_rate,pipeline_success_rate,total_jobs,canceled_jobs,skipped_jobs,job_canceled_rate,job_skipped_rate,Total Branches,Total Merges,Valid Merges,Invalid Merges,Success Rate (%),Invalid Rate (%),Branch Success Rate (%)
B01,172,67,105,0,0,117.35,12.00,6853,53.15,72.80,0.00,0.00,61.05,38.95,344,0,19,0.00,5.52,5,3,3,0,100.00,0.00,60.00
B02,152,31,87,34,0,1218.75,12.00,7362,57.29,1380.57,22.37,0.00,57.24,20.39,304,66,19,21.71,6.25,5,2,2,0,100.00,0.00,40.00
B03,152,23,45,84,0,1786.71,53.00,9569,403.96,1796.19,55.26,0.00,29.61,15.13,304,153,16,50.33,5.26,5,0,0,0,0.00,0.00,0.00
B04,199,69,129,1,0,171.92,12.00,8335,93.68,89.02,0.50,0.00,64.82,34.67,398,1,23,0.25,5.78,5,4,4,0,100.00,0.00,80.00
B05,108,11,64,33,0,1903.86,12.00,7602,119.32,2379.96,30.56,0.00,59.26,10.19,216,62,19,28.70,8.80,5,3,0,3,0.00,100.00,0.00
B06,96,17,16,63,0,2511.64,189.00,10239,320.72,2906.01,65.62,0.00,16.67,17.71,192,106,6,55.21,3.12,4,0,0,0,0.00,0.00,0.00
B07,124,9,47,68,0,3023.41,2259.00,10522,91.54,3270.70,54.84,0.00,37.90,7.26,248,105,9,42.34,3.63,5,2,0,2,0.00,100.00,0.00
B08,183,15,101,67,0,1435.66,49.50,7960,225.39,1528.13,36.61,0.00,55.19,8.20,366,122,24,33.33,6.56,5,0,0,0,0.00,0.00,0.00
B09,172,27,115,30,0,1003.15,13.00,10187,142.64,1023.64,17.44,0.00,66.86,15.70,344,51,24,14.83,6.98,5,0,0,0,0.00,0.00,0.00
B10,167,31,102,33,0,572.38,32.00,8058,220.89,457.15,19.76,0.00,61.08,18.56,334,55,19,16.47,5.69,5,1,1,0,100.00,0.00,20.00
