Type,Project,Total Pipelines,Both Success (%),Build Only (%),Build Failed (%),Canceled (%)
A,A01,63,14.29,19.05,9.52,57.14
A,A02,115,26.96,39.13,6.96,26.96
A,A03,93,46.24,31.18,22.58,0.0
A,A04,176,13.07,79.55,7.39,0.0
A,A05,161,26.09,47.2,4.97,21.74
A,A06,158,26.58,38.61,5.7,29.11
A,A07,178,8.43,33.15,11.8,46.63
A,A08,143,45.45,48.25,6.29,0.0
A,A09,204,7.35,40.69,10.78,41.18
A,A10,210,19.05,71.9,8.57,0.48
B,B01,159,34.59,54.09,11.32,0.0
B,B02,142,14.79,49.3,13.38,22.54
B,B03,147,12.24,29.93,10.88,46.94
B,B04,183,28.96,58.47,12.57,0.0
B,B05,98,6.12,45.92,19.39,28.57
B,B06,91,13.19,32.97,6.59,47.25
B,B07,117,3.42,57.26,7.69,31.62
B,B08,178,5.62,50.0,13.48,30.9
B,B09,167,13.17,59.88,14.37,12.57
B,B10,160,15.0,59.38,11.88,13.75
,,,,,,
A,TOTAL,1501,21.653051299133903,48.301419053964025,8.994137241838775,21.053564290473016
B,TOTAL,1442,15.60255894590846,50.83303744798891,12.274049930651875,21.289459084604715
