Project,n,Median (min),Mean (min),SD (min),Q1 (min),Q3 (min),IQR (min),Min (min),Max (min)
A01,3,22.88,32.98,19.36,21.82,39.09,17.27,20.77,55.30
A02,4,48.27,49.15,6.79,44.21,53.21,9.00,42.60,57.45
A03,4,23.12,42.36,41.02,20.68,44.81,24.13,19.42,103.78
A04,5,40.47,43.26,24.12,26.43,46.60,20.17,20.65,82.17
A05,5,46.80,56.94,33.52,45.12,84.93,39.82,12.40,95.45
A06,5,63.37,62.50,12.98,56.13,71.97,15.83,44.17,76.87
A07,5,57.27,81.21,56.10,54.50,69.60,15.10,44.40,180.27
A08,5,42.97,48.66,12.80,42.33,46.35,4.02,40.43,71.23
A09,5,46.37,53.29,22.25,36.75,64.65,27.90,32.35,86.32
A10,4,67.50,60.39,27.32,55.01,72.88,17.87,21.38,85.17
