Projekt,Branch/Issue,n (Pipelines),Median (s),Mittelwert (s),Stdabw (s),Min (s),Max (s)
A01,Issue #1,11,12.00,140.91,427.21,10,1429
A01,Issue #2,9,10.00,3061.22,4579.10,10,9466
A01,Issue #3,1,8245.00,8245.00,0.00,8245,8245
A01,Issue #4,1,4.00,4.00,0.00,4,4
A01,Issue #5,5,4.00,3.80,0.45,3,4
A01,Master,8,11.00,1079.12,3019.90,11,8553
A02,Issue #1,34,12.00,14.38,9.24,4,47
A02,Issue #2,17,606.00,2578.71,3129.96,4,7623
A02,Issue #3,16,2422.50,3160.06,3416.42,4,10229
A02,Issue #4,8,5653.50,5404.50,1093.05,3748,6609
A02,Issue #5,9,4212.00,3102.56,3093.30,4,7435
A02,Master,6,35.00,912.33,2152.14,11,5305
A03,Issue #1,26,12.00,12.00,7.90,4,48
A03,Issue #2,35,10.00,8.00,3.77,4,13
A03,Issue #3,16,12.00,11.56,2.31,4,13
A03,Issue #4,16,12.00,12.44,0.51,12,13
A03,Master,14,13.00,15.14,9.80,11,49
A04,Issue #1,25,12.00,13.24,7.26,11,48
A04,Issue #2,65,12.00,11.98,1.08,4,13
A04,Issue #3,26,12.00,10.85,2.19,4,12
A04,Issue #4,35,12.00,11.40,1.12,10,13
A04,Issue #5,25,12.00,9.12,4.31,4,13
A04,Master,14,12.00,14.71,10.21,11,50
A05,Issue #1,20,12.00,13.00,8.20,4,47
A05,Issue #2,35,12.00,11.49,1.93,4,13
A05,Issue #3,57,12.00,11.42,2.14,4,13
A05,Issue #4,12,13.00,1882.92,2840.18,12,6528
A05,Issue #5,1,7.00,7.00,0.00,7,7
A05,Master,18,11.00,13.44,8.18,11,46
A06,Issue #1,20,52.50,2020.80,2835.18,10,6714
A06,Issue #2,28,41.50,2614.29,3096.11,10,8145
A06,Issue #3,17,22.00,3227.82,3925.27,10,9177
A06,Issue #4,27,13.00,1561.30,2805.31,4,8943
A06,Issue #5,21,21.00,2213.05,2672.22,4,7127
A06,Master,6,12.00,704.67,1696.19,11,4167
A07,Issue #1,21,194.00,2419.29,2868.55,12,7056
A07,Issue #2,10,5088.00,3995.20,2787.28,25,6938
A07,Issue #3,22,10.50,1860.86,2552.83,4,6873
A07,Issue #4,28,13.00,1277.50,2393.24,3,7162
A07,Issue #5,14,4302.50,3345.79,2511.33,20,6270
A07,Master,7,11.00,20.86,20.92,11,67
A08,Issue #1,28,12.00,207.14,1012.89,4,5375
A08,Issue #2,22,12.00,282.77,1258.91,11,5919
A08,Issue #3,46,12.00,12.00,9.02,4,69
A08,Issue #4,19,12.00,47.42,146.11,10,650
A08,Issue #5,28,12.00,15.43,11.52,12,65
A08,Master,11,12.00,17.45,12.38,11,47
A09,Issue #1,29,12.00,425.66,1444.48,11,6345
A09,Issue #2,58,10.00,398.16,1819.98,4,12121
A09,Issue #3,2,2617.50,2617.50,3635.24,47,5188
A09,Issue #4,22,20.50,541.91,1655.97,9,7085
A09,Issue #5,11,88.00,2206.00,2946.58,10,6573
A09,Master,7,13.00,25.86,18.26,11,49
A10,Issue #1,48,11.00,41.94,127.64,4,653
A10,Issue #2,20,12.00,15.05,12.75,10,69
A10,Issue #3,72,12.00,154.33,825.04,4,5411
A10,Issue #4,62,12.00,256.95,1224.65,4,6888
A10,Issue #5,8,14.00,32.62,53.49,13,165
A10,Master,7,13.00,106.14,223.57,11,611
