Project,total_pipelines,success_pipelines,failed_pipelines,canceled_pipelines,skipped_pipelines,avg_duration,median_duration,max_duration,avg_compile_duration,avg_test_duration,canceled_rate,skipped_rate,failed_rate,pipeline_success_rate,total_jobs,canceled_jobs,skipped_jobs,job_canceled_rate,job_skipped_rate,Total Branches,Total Merges,Valid Merges,Invalid Merges,Success Rate (%),Invalid Rate (%),Solved Issue (%)
A01,72,15,19,38,0,1314.34,11.00,9466,4.65,1581.28,52.78,0.00,26.39,20.83,144,75,6,52.08,4.17,5,2,0,2,0.00,100.00,0.00
A02,121,35,47,39,0,1905.79,13.00,10229,79.45,2005.00,32.23,0.00,38.84,28.93,242,70,8,28.93,3.31,5,1,0,1,0.00,100.00,0.00
A03,107,57,50,0,0,11.10,12.00,49,5.01,8.15,0.00,0.00,46.73,53.27,214,0,21,0.00,9.81,5,4,4,0,100.00,0.00,80.00
A04,190,33,157,0,0,11.71,12.00,50,4.77,7.96,0.00,0.00,82.63,17.37,380,0,13,0.00,3.42,5,4,2,2,50.00,50.00,40.00
A05,179,60,83,36,0,168.93,12.00,6528,4.87,174.32,20.11,0.00,46.37,33.52,358,71,8,19.83,2.23,5,2,2,0,100.00,0.00,40.00
A06,165,47,50,68,0,2196.18,14.00,9177,230.41,2146.67,41.21,0.00,30.30,28.48,330,115,9,34.85,2.73,5,1,0,1,0.00,100.00,0.00
A07,185,22,80,83,0,2102.48,155.00,7162,79.16,2548.50,44.86,0.00,43.24,11.89,370,166,21,44.86,5.68,5,0,0,0,0.00,0.00,0.00
A08,154,76,78,0,0,91.55,12.00,5919,40.26,54.93,0.00,0.00,50.65,49.35,308,0,9,0.00,2.92,5,3,3,0,100.00,0.00,60.00
A09,211,22,102,87,0,597.22,11.00,12121,214.26,471.13,41.23,0.00,48.34,10.43,422,171,22,40.52,5.21,5,1,1,0,100.00,0.00,20.00
A10,217,47,168,2,0,139.91,12.00,6888,90.72,54.55,0.92,0.00,77.42,21.66,434,3,18,0.69,4.15,5,1,1,0,100.00,0.00,20.00
